年月,地區,產業別,性別,年齡層,信用卡交易筆數,信用卡交易金額[新台幣]
201401,67000000,文教康樂,2,55(含)-60歲,3828,24019909
201401,67000000,文教康樂,2,60(含)-65歲,1844,12163083
201401,67000000,文教康樂,2,65(含)-70歲,482,4418998
201401,67000000,文教康樂,2,70(含)-75歲,170,1309717
201401,67000000,文教康樂,2,75(含)-80歲,54,561271
201401,67000000,文教康樂,2,80(含)歲以上,105,1389610
201401,67000000,百貨,2,未滿20歲,470,909717
201401,67000000,百貨,2,20(含)-25歲,10625,20491260
201401,67000000,百貨,2,25(含)-30歲,30748,66216731
201401,67000000,百貨,2,30(含)-35歲,46581,106534184
201401,67000000,百貨,2,35(含)-40歲,49118,116421377
201401,67000000,百貨,2,40(含)-45歲,45320,118708781
201401,67000000,百貨,2,45(含)-50歲,36191,107144087
201401,67000000,百貨,2,50(含)-55歲,22019,77404895
201401,67000000,百貨,2,55(含)-60歲,11674,40316540
201401,67000000,百貨,2,60(含)-65歲,6178,21003207
201401,67000000,百貨,2,65(含)-70歲,1664,5130617
201401,67000000,百貨,2,70(含)-75歲,723,2422944
201401,67000000,百貨,2,75(含)-80歲,276,852999
201401,67000000,百貨,2,80(含)歲以上,232,873474
201401,67000000,其他,2,未滿20歲,155,320529
201401,67000000,其他,2,20(含)-25歲,5818,16860887
201401,67000000,其他,2,25(含)-30歲,16948,54000236
201401,67000000,其他,2,30(含)-35歲,25404,83574098
201401,67000000,其他,2,35(含)-40歲,27257,94660905
201401,67000000,其他,2,40(含)-45歲,25040,94634610
201401,67000000,其他,2,45(含)-50歲,22189,91756155
201401,67000000,其他,2,50(含)-55歲,14813,76535647
201401,67000000,其他,2,55(含)-60歲,7705,44386343
201401,67000000,其他,2,60(含)-65歲,3631,22096569
201401,67000000,其他,2,65(含)-70歲,1028,5075749
201401,67000000,其他,2,70(含)-75歲,437,2364206
201401,67000000,其他,2,75(含)-80歲,87,553499
201401,67000000,其他,2,80(含)歲以上,260,1692468
201401,64000000,食,2,未滿20歲,671,638855
201401,64000000,食,2,20(含)-25歲,15857,19713552
201401,64000000,食,2,25(含)-30歲,48947,73731321
201401,64000000,食,2,30(含)-35歲,88790,144189617
201401,64000000,食,2,35(含)-40歲,121412,198570698
